glucan,xylan,lignin,ash,Volatiles  db,Ash  db,Carbon  db,Nitrogen  db,ADSCI-growing season,ADSCI-30 days prior to harvest,ADSCI-30 days prior to growing season end,Precip-growing season cm,Precip-30 days prior to harvest cm,Precip-30 days prior to growing season end cm,Accumlated Thermal Time-growing season C ,Accumlated Thermal Time-30 days prior to harvest C ,Accumlated Thermal Time-30 days prior to growing season end C ,0-10 Soil pH,0-10 Soil particulate organic matter ,0-10 Soil total organic carbon ,0-10 Total Soil nitrogen ,0-10 Soil Bulk Density gcm3,0-10 Soil P mgkg,0-10 Soil K mgkg,10-20 Soil pH,10-20 Soil particulate organic matter ,10-20 Soil total organic carbon ,10-20 Total Soil nitrogen ,10-20 Soil Bulk Density gcm3,10-20 Soil P mgkg,10-20 Soil K mgkg,20-30 Soil pH,20-30 Soil particulate organic matter ,20-30 Soil total organic carbon ,20-30 Total Soil nitrogen ,20-30 Soil Bulk Density gcm3,20-30 Soil P mgkg,20-30 Soil K mgkg,30-50 Soil pH,30-50 Soil particulate organic matter ,30-50 Soil total organic carbon ,30-50 Total Soil nitrogen ,30-50 Soil Bulk Density gcm3,30-50 Soil P mgkg,30-50 Soil K mgkg,50-100 Soil pH,50-100 Soil particulate organic matter ,50-100 Soil total organic carbon ,50-100 Total Soil nitrogen ,50-100 Soil Bulk Density gcm3,50-100 Soil P mgkg,50-100 Soil K mgkg,0-10 Site Sand ,0-10 Site Silt ,0-10 Site Clay ,0-10 Site pH,0-10 Site CEC cmol kg-1,0-10 Site SOM ,0-10 Site Soil total organic carbon ,0-10 Site Total Soil nitrogen ,0-10 Site Extractable P mg kg-1,0-10 Site Extractable K mg kg-1,0-10 Site Extractable Ca mg kg-1,0-10 Site Extractable Mg mg kg-1,0-10 Site Extractable S mg kg-1,0-10 Site BD g cm-3,10-20 Site Sand ,10-20 Site Silt ,10-20 Site Clay ,10-20 Site pH,10-20 Site CEC cmol kg-1,10-20 Site SOM ,10-20 Site Soil total organic carbon ,10-20 Site Total Soil nitrogen ,10-20 Site Extractable P mg kg-1,10-20 Site Extractable K mg kg-1,10-20 Site Extractable Ca mg kg-1,10-20 Site Extractable Mg mg kg-1,10-20 Site Extractable S mg kg-1,10-20 Site BD g cm-3,20-30 Site Sand ,20-30 Site Silt ,20-30 Site Clay ,20-30 Site pH,20-30 Site CEC cmol kg-1,20-30 Site SOM ,20-30 Site Soil total organic carbon ,20-30 Site Total Soil nitrogen ,20-30 Site Extractable P mg kg-1,20-30 Site Extractable K mg kg-1,20-30 Site Extractable Ca mg kg-1,20-30 Site Extractable Mg mg kg-1,20-30 Site Extractable S mg kg-1,20-30 Site BD g cm-3,30-50 Site Sand ,30-50 Site Silt ,30-50 Site Clay ,30-50 Site pH,30-50 Site CEC cmol kg-1,30-50 Site SOM ,30-50 Site Soil total organic carbon ,30-50 Site Total Soil nitrogen ,30-50 Site Extractable P mg kg-1,30-50 Site Extractable K mg kg-1,30-50 Site Extractable Ca mg kg-1,30-50 Site Extractable Mg mg kg-1,30-50 Site Extractable S mg kg-1,30-50 Site BD g cm-3,50-100 Site Sand ,50-100 Site Silt ,50-100 Site Clay ,50-100 Site pH,50-100 Site CEC cmol kg-1,50-100 Site SOM ,50-100 Site Soil total organic carbon ,50-100 Site Total Soil nitrogen ,50-100 Site Extractable P mg kg-1,50-100 Site Extractable K mg kg-1,50-100 Site Extractable Ca mg kg-1,50-100 Site Extractable Mg mg kg-1,50-100 Site Extractable S mg kg-1,50-100 Site BD g cm-3,Nitrogen Trt Categorical
36.19349967,21.76411406,19.23829458,6.586029089,81.22333333,5.776666667,47.81333333,0.393333333,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.83333,1.86667,1.20667,0.11333,1.665,31,94.333,6.1,1.8,1.12,0.10667,1.78333,37.333,131.667,6.16667,1.76667,1.05333,0.10333,1.73,26,96.333,6.26667,1.4,0.68333,0.07333,1.6625,4.667,62,6.9,1.3,0.395,0.055,1.61667,1,125,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,1
40.4103394,22.22673085,21.0941149,3.712055395,82.44,3.943333333,48.76333333,0.156666667,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.8,2.13333,1.12333,0.11667,1.61667,26,122,6.13333,2.23333,1.19333,0.13,1.76333,35.667,161.333,6,2.03333,0.87,0.10667,1.71333,7.667,78,6.26667,1.9,0.55333,0.07667,1.63333,2,125.667,6.86667,1.3,0.33667,0.04167,1.79333,1,94,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,1
39.69592797,23.14371656,20.65015397,4.466301219,81.62,4.52,48.135,0.19,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.83333,2,1.16333,0.11,1.54,23.333,128.333,5.76667,2,1.05667,0.10667,1.63333,11.667,98.667,5.7,1.9,0.90333,0.09333,1.61667,7.333,95.333,6.1,1.7,0.58,0.06333,1.55667,2,133.667,6.73333,1.16667,0.37,0.025,1.69333,1,125,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,-1
40.46007938,22.63806389,21.07475278,3.384731006,82.22333333,3.87,48.43666667,0.055,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.36667,2.1,1.07,0.11333,1.375,41.667,109.333,5.46667,2.13333,1.16667,0.12333,1.63,54.333,161.333,6,2.06667,1.11333,0.11333,1.5975,49.667,193.333,5.56667,1.76667,0.64333,0.08,1.54,11.333,64.667,6.36667,1.46667,0.28,0.05,1.6325,1,137.333,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,0
37.11135324,22.11923279,19.98393114,6.010077485,81.71333333,5.093333333,48.05333333,0.28,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,6.06667,1.7,1.11667,0.10667,1.58333,46,155.667,5.83333,1.7,1.05,0.1,1.68,34.333,109.667,6.06667,1.7,0.93667,0.08,1.64333,23.667,64.667,6.03333,1.43333,0.66667,0.06333,1.54,5.333,80,6.45,1.1,0.35,0.025,1.625,1,145.5,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,0
37.8605144,22.55072665,19.1267986,5.97876433,80.76,6.1775,47.2125,0.2425,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.4,1.8,1.09667,0.10333,1.5275,44.333,129.333,5.83333,1.73333,1.06667,0.09667,1.64667,46.333,146.333,5.93333,1.83333,1.16333,0.1,1.64333,52.667,172.667,5.9,1.63333,0.91333,0.08333,1.65,16,58.667,6.03333,1.26667,0.46,0.045,1.635,2,152,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,-1
37.30622146,21.81929325,19.97619726,6.104430947,81.544,5.106,48.076,0.304,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.86667,1.86667,1.00333,0.09333,1.53667,28.667,90,5.86667,1.9,0.99,0.1,1.77667,36.667,110,5.8,1.93333,0.96667,0.09667,1.78667,35.333,114.667,6.2,1.5,0.64667,0.07,1.69,5,55.667,6.86667,1.4,0.42333,0.05333,1.62333,1,101.667,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,0
36.48057867,22.64772027,18.71718066,7.145674227,80.765,6.2825,47.3675,0.35,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.8,1.96667,1.13,0.10333,1.4825,37.667,93,5.86667,1.86667,1.03667,0.10333,1.63,57,156,6.23333,2,1.19,0.11333,1.6775,52,129.667,5.73333,1.63333,0.79333,0.07667,1.535,10,56,6.4,1.3,0.38,0.05,1.42,1,137,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,-1
40.09205664,21.95051161,21.06147371,3.42858404,82.42666667,4.05,48.64,0.26,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.76667,1.8,1.22,0.12,1.40333,51.333,113.333,5.73333,1.8,1.16667,0.11667,1.69,74.667,163,6,1.83333,1.27667,0.12667,1.69,80,207.333,5.9,1.56667,1.03667,0.10333,1.55333,32,51.333,6.1,1.03333,0.44667,0.05667,1.58,2,131.667,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,1
35.92408651,22.67078006,18.37938897,7.425883741,80.23,7.196666667,46.54,0.33,0,0,0,77.9272,9.652,11.0744,3226.944444,-86.66666667,483.0555556,5.7,1.6,1.11,0.11667,1.595,31,97,6.33333,1.73333,1.15,0.11667,1.8125,40.667,147.333,6.03333,1.6,1.1,0.11333,1.7025,28.333,111.667,6.26667,1.2,0.67333,0.08,1.625,3.333,82.667,7.06667,0.93333,0.43667,0.05667,1.6675,1,129,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,36,43,21,6,12,1.6,0.75,0.08,11.3,75,1722,325,13.4,1.59,55,30,16,5.7,10.6,1.9,1.14,0.11,39.1,110,1390,154,15.8,1.52,45,30,15,5.9,10.7,1.9,1.11,0.11,47.1,144,1613,154,17.1,1.69,52,32,16,6,10.9,1.9,1.08,0.11,39.5,130,1686,177,17.4,1.66,-1
